eng_Latn,sentence_length,guj
"In the first long-distance audio transmissions by Reginald Fessenden in 1906, a continuous wave from an Alexanderson alternator was fed directly to the transmitting antenna through a water-cooled carbon microphone.",30,"Reginald Fessenden na 1906 na pehla long-distance audio transmission ma, ek continuous wave Alexanderson alternator mathi direct transmitting antenna ma feed kari, water-cooled carbon microphone through."
They argue that the theory and diagnosis of personality disorders are based strictly on social or even sociopolitical and economic considerations.,21,Tema logic che ke theory ane diagnosis of personality disorders strictly social athva sociopolitical ane economic considerations par based chhe.
"Cellulose fibre alternatives have similar characteristics but are not perfect substitutes for cotton textiles, with differences in properties like tensile strength and thermal regulation.",24,"Cellulose fibre alternatives similar characteristics rakhe che par cotton textiles mate perfect substitutes nathi, properties ma differences jivi tensile strength ane thermal regulation sathe."
GPL is primarily designed for providing public license to a software.,11,GPL primarily design thayu che ek software ne public license provide karva mate.
The Institute has crossed many milestones towards a new paradigm in the art and craft of filmmaking.,17,Institute e kai kai milestones cross kari che filmmaking na art ane craft ma ek navi paradigm taraf.
"As per the report of the Sargent Committee, the Tourist Traffic Committee was appointed in 1948.",16,"Sargent Committee na report mujab, Tourist Traffic Committee 1948 ma appoint kari."
"Between 1913 and 1929, its agricultural exports rose from $3 million ($2 million from bananas) to $25 million ($21 million from bananas).",22,"1913 thi 1929 vachhe, tena agricultural exports $3 million ($2 million bananas mathi) thi $25 million ($21 million bananas mathi) sudhi vadhya."
"In him, the northern region brought forth, as it were, another god of death, bent in rivalry to surpass Yama (the god of death residing in the southern regions).",29,"Temna ma, northern region ae, jaise, ek bijo god of death forward karyo, je Yama (southern regions ma raho chhe) ne surpass karva mate rival bent chhe."
Exhaled respiratory particles can build up within enclosed spaces with inadequate ventilation.,12,Exhaled respiratory particles inadequate ventilation sathe enclosed spaces ma build up thai shake chhe.
"In 2020, Finance Minister Nirmala Sitharaman introduced a bill to amend the Act.",13,"2020 ma, Finance Minister Nirmala Sitharaman e ek bill introduce karyo Act amend karva mate."
"On the senior circuit, Mirza started to show early success as she made her debut in April 2001 on the ITF Circuit as a 15-year-old.",25,"Senior circuit par, Mirza e early success dekhaavi jare te April 2001 ma ITF Circuit par debut kari ek 15-year-old tareke."
"Ratan Tirkey, a former BJP politician and activist, said that Murmu had not done enough to make sure that the self-governance rights granted to tribal communities were properly implemented.",29,"Ratan Tirkey, ek former BJP politician ane activist, kahe chhe ke Murmu e tribal communities ne granted self-governance rights properly implement thaai ena mate enough nahi karyu."
"According to some estimates, India has 10,600 MW of geothermal energy available.",12,"Kai kai estimates mujab, India pase 10,600 MW geothermal energy available che."
"While the vehicle is in motion an unrestrained CRS could fling through the vehicle interior in the event of sudden braking, maneuver or an accident.",25,"Jab vehicle chalti hoy tyare ek unrestrained CRS achanak braking, maneuver ya accident ni situation ma vehicle andar fling thai shake chhe."
This will increase stress on natural ecosystems.,7,Aa vadharo natural ecosystems upar stress badharshe.
"San Francisco Bay Ferry operates from the Ferry Building and Pier 39 to points in Oakland, Alameda, Bay Farm Island, South San Francisco, and north to Vallejo in Solano County.",30,"San Francisco Bay Ferry Ferry Building ane Pier 39 thi Oakland, Alameda, Bay Farm Island, South San Francisco, ane north ma Vallejo sudhi Solano County ma operate kare chhe."
"Between 1972 and 1975, cupro-nickel replaced nickel in the 25 paise, 50 paise and the 1 rupee coins; in 1982, cupro-nickel two rupee coins were introduced.",26,"1972 ane 1975 vachche, cupro-nickel ye 25 paise, 50 paise ane 1 rupee na sikka ma nickel ne replace karyo; 1982 ma, cupro-nickel be rupee na sikka introduce thayla."
Maharashtra has recognized tourism as a major thrust area for economic growth in the state because Sahyadri Mountain is the backbone of Maharashtra.,23,Maharashtra tourism ne economic growth ma ek major thrust area tariqe recognize kare chhe karan ke Sahyadri Mountain Maharashtra ni backbone chhe.
"His article, an excerpt from a forthcoming book, offers a vivid picture of the subterranean world of exploitation cinema.",19,"Ena article ma, je ek forthcoming book ma thi excerpt chhe, exploitation cinema ni subterranean world no vivid picture offer kare chhe."
The government will set up an expert group to advise on a viable and sustainable system of pricing petroleum products.,20,Government ek expert group set up karse jo petroleum products ni pricing na viable ane sustainable system upar advice aapse.
"Following the rebellions in the Poonch and Mirpur areas and the Pakistan-backed Pashtun tribal intervention from the Khyber Pakhtunkhwa, the Maharaja asked for Indian military assistance.",26,"Poonch ane Mirpur areas ma rebellions ni pachi, ane Pakistan-backed Pashtun tribal intervention Khyber Pakhtunkhwa thi, Maharaja ye Indian military assistance maangi."
Attendance of patients in OPD and IPD of the Institute has continuously increased.,13,Institute na OPD ane IPD ma patients ni attendance lagataar vadhyeli chhe.
"Like the 51st edition, this edition was also held in a hybrid format that combined online and face-to-face participation.",19,"51st edition jevi rite, aa edition pan ek hybrid format ma hold kari gayi je online ane face-to-face participation ne combine kare chhe."
"In some cases, weapons first introduced in science fiction have now been made a reality.",15,"Ketla cases ma, weapons jo pehli vaar science fiction ma introduce thayela hata, have reality ma bana chhe."
Cardio-respiratory endurance reflects the ability of the body's circulatory and respiratory systems to supply fuel during sustained physical activity.,19,Cardio-respiratory endurance body na circulatory ane respiratory systems ni ability ne reflect kare chhe fuel supply karva maate during sustained physical activity.
"The individual, asserts Katha Upanishad, who contemplates this eternal and not crooked one, becomes free and never experiences grief.",19,"Katha Upanishad pramanit kare chhe ke individual je aa eternal ane not crooked one upar contemplate kare chhe, te free bane chhe ane kadi grief experience na kare."
"Jersey cows produce milk having about 5 percent fat content, while the milk of Holstein-Friesian contains about 3.5 percent fat.",20,"Jersey cows na dudh ma lagbhag 5 percent fat content hoy chhe, jare Holstein-Friesian na dudh ma lagbhag 3.5 percent fat hoy chhe."
This can be positive as well as negative.,8,Aa positive pan hoi shake chhe ane negative pan.
"Jihadi, mujahideen, and fedayeen are similar Arabic words that have entered the English lexicon.",14,"Jihadi, mujahideen, ane fedayeen similar Arabic words chhe je English lexicon ma pravesh kare chhe."
"Ajanta, located in the Aurangabad District of Maharashtra has twenty-nine caitya and vihara caves decorated with sculptures and paintings from the first century B.C.E. to the fifth century C.E.",29,"Ajanta, je Maharashtra na Aurangabad District ma avel chhe, ma 29 caitya ane vihara caves chhe je sculptures ane paintings thi decorated chhe pehli century B.C.E. thi panchmi century C.E. sudhi."
Most Indian states had granted general consent to the CBI to investigate crimes within their territories.,16,Vadhu bhag na Indian states ye CBI ne general consent api didhi hati crimes investigate karva maate temni territories ma.
"Bengal Chemicals and Pharmaceuticals was set up by P.C. Ray, a professor of chemistry at Calcutta University.",17,"Bengal Chemicals ane Pharmaceuticals P.C. Ray dwara set up kari gayi hati, je chemistry na professor hata Calcutta University ma."
Professor Asitkumar Bandyopadhyay played a pioneering role in compiling the complete history of his hometown Howrah titled as Howrah Saharer Itibrrito (First and Second Volume) in 1994 & 1995.,29,Professor Asitkumar Bandyopadhyay ye ek pioneering role play karyo compiling maate complete history no temna hometown Howrah titled Howrah Saharer Itibrrito (First ane Second Volume) 1994 ane 1995 ma.
I still needed to train hard.,6,Hu have pan hard training ni jarooriyat hati.
The aim of the third level is to present and communicate the results in a way that supports decision-making.,19,Third level no aim chhe results ne present ane communicate karvo je decision-making ne support kare.
A generic version of Tamiflu (Oseltamivir) was made available in the Indian market after several months of swine flu attacks.,20,Tamiflu (Oseltamivir) ni ek generic version Indian market ma available kari gayi hati kai swine flu attacks na mahinao pachi.
"Rice is the main food crop, and pulses (legumes), ragi (finger millet), and other food crops are also grown.",19,"Rice mukhya food crop chhe, ane pulses (legumes), ragi (finger millet), ane anya food crops pan ugadva ma ave chhe."
"Or have you made a considered decision that the template is not, or is no longer, applicable?",17,"Athva tame ek considered decision lelo chhe ke template applicable nathi, athva have applicable nathi?"
"In 2017, ANZ acquired REALas property price predictor start-up.",9,"2017 ma, ANZ ye REALas property price predictor start-up acquire karyo."
"It was introduced in 1994 as a subscription service transmitted by satellite television provider DirecTV for 13 hours a day, seven days a week.",24,"Aa 1994 ma introduce thayo hatu ek subscription service tariqe satellite television provider DirecTV dwara 13 kalak divas ma, saat divas ek saptah ma."
"It offers DEPM, B.TECH (Electronics Engineering), M.Tech (Electronics Design Technology), Ph.D., and short-term courses.",14,"Aa DEPM, B.TECH (Electronics Engineering), M.Tech (Electronics Design Technology), Ph.D., ane short-term courses offer kare chhe."
"Two small rivulets, Nunia and Gauri, flow past Asansol.",9,"Be nani rivulets, Nunia ane Gauri, Asansol ni paase thi vahe chhe."
"Having once said, 'I will do', you have no option but to do it.",14,Ek vaar kahyu 'Hu karis' to tame pase koi option nathi aapva sivay.
The aim will be to reduce by half the current level of female illiteracy in three years.,17,The aim hase to reduce by half current level of female illiteracy three varsh ma.
Adultery is frequently viewed as a breach of trust and of the commitment made during the act of marriage.,19,Adultery vaakhe breach of trust kevaay ane commitment nu bhang thato che during marriage.
"She said that her salary was not paid for the past two years, and neither was her leave for subsequent games duly sanctioned by the authority.",26,"Te kahe chhe ke ena salary past be varsh thi paid nathi, ane ena leave subsequent games ma authority dwara sanction pan na thaayela."
The purpose of the book appears to encourage proficiency in Sanskrit expression and the knowledge of wise behaviour.,18,Book nu purpose che to encourage proficiency Sanskrit expression ma ane wise behaviour nu gnaan.
Only when he realizes the extent of Arjuna's despondency does Krishna change his attitude and start teaching the mysteries of dharmic action in this world.,25,"Jyaare Arjuna no despondency samje che, tyare Krishna ene attitude badle che ane dharmic action na mysteries sikhva ma lage che."
"With state-of-the-art facilities, FTII provides a creative ambiance to inspire budding filmmakers with an innovative language of artistic expression.",19,State-of-the-art facilities thi FTII ek creative ambiance provide kare chhe to inspire budding filmmakers innovative language of artistic expression ma.
"Madang is good for scuba diving of all levels, and the coral reefs are home to a variety of rare species of colourful fish.",24,"Madang che saras for scuba diving badha levels ma, ane coral reefs che ghar variety of rare species of colourful fish nu."
But it would be inaccurate to attribute this change merely to technology.,12,Pan aa change technology ne j attributed karvu inaccurate hase.
More dreadful variants of this virus are expected in the coming days.,12,Aa virus na vadhu dreadful variants expected che aavta divaso ma.
"The cockpit of an aircraft is a typical location for avionic equipment, including control, monitoring, communication, navigation, weather, and anti-collision systems.",21,"Aircraft no cockpit typical location che for avionic equipment, including control, monitoring, communication, navigation, weather, and anti-collision systems."
"If the land cover delineations are done on a computer screen, the land cover map is created during the delineation process.",21,"Jo land cover delineations computer screen par thai, to land cover map delineation process duran banavay che."
"Human safety mainly focuses on the health, hygiene, and environment of all people, including customers, employees, and management.",18,"Human safety mainly focus kare che health, hygiene, and environment of loko par, jema customers, employees, ane management shamil chhe."
"They materialize the novel into something else and the result is a hybrid affair, a mixture of genres.",18,"Te novel ne materialize kare chhe biju karyama, ane result che hybrid affair, ek mixture of genres."
Some navies operate ocean-going hospital ships to lend medical assistance in high-casualty situations like wars or natural disasters.,18,Koi navies operate kare chhe ocean-going hospital ships medical assistance aapva mate in high-casualty situations jaise wars ya natural disasters.
This is because growth is affected by both genetic and environmental factors.,12,Aa karan ke growth ne genetic ane environmental factors be affect kare chhe.
"The two judges have long records of issuing long-term prison sentences or death penalties for Iranians longing for democracy and opposed to the rule of the Supreme Leader, Ali Khamenei.",30,"Be judges ni long records che issuing long-term prison sentences ya death penalties mate Iranians longing for democracy ane Supreme Leader, Ali Khamenei ni rule ne oppose karva."
Brahm is a leading god (deva) and heavenly king in Buddhism.,11,Brahm ek leading god (deva) ane heavenly king che in Buddhism.
"In the past, surcharges on direct taxes have generally been levied to meet the revenue needs arising from natural calamities.",20,"Past ma, surcharges on direct taxes generally levied thaayela revenue needs meet karva mate arising from natural calamities."
"After the sharp devaluation in 1991 and the transition to current account convertibility in 1994, the value of the rupee has been largely determined by market forces.",27,"Sharp devaluation 1991 ma ane transition to current account convertibility 1994 ma, rupee nu value largely determined thai gayu market forces dwara."
Bricks should be tested for hardness and durability before they are used in masonry.,14,Bricks ne test karvani che hardness ane durability ma pehla ke masonry ma vaparva.
"These seasonally distinctive communities have diverse life forms that are greatly impacted by the seasonality of their climate, mainly temperature and precipitation rates.",23,"Aa seasonally distinctive communities diverse life forms che, je greatly impacted che seasonality of climate dwara, mainly temperature ane precipitation rates."
American Express ranked 86th in the 2018 Fortune 500 list of the largest United States corporations by total revenue.,19,"American Express rank karelo 86th in 2018 Fortune 500 list, largest United States corporations by total revenue."
The Medical Officer would not let me go to him again and insisted on sending an inspector to me instead.,20,"Medical Officer mane ene paashe jaavva nahi didhu, ane insist kari inspector mane moklva ma."
It is also the savior of the future.,8,Te future no savior pan chhe.
Cochlear implants also benefit people who have more significant hearing loss.,11,Cochlear implants pan benefit kare chhe loko ne jeni significant hearing loss chhe.
"India has 7,516 kilometres (4,670 mi) of marine coastline, 3,827 fishing villages, and 1,914 traditional fish landing centers.",18,"India ni paashe 7,516 kilometres (4,670 mi) marine coastline chhe, 3,827 fishing villages, ane 1,914 traditional fish landing centers."
"Dehradun city receives potable water from two primary sources: surface water and groundwater, to meet its supply needs.",18,"Dehradun city potable water receive kare che from be primary sources: surface water ane groundwater, supply needs meet karva mate."
"The stunt film and the adventure action film did not appeal to everyone: the educated classes saw them as populist, vulgar and a corrupting influence.",25,"Stunt film ane adventure action film badha ne appeal na kare: educated classes ene populist, vulgar ane ek corrupting influence maane chhe."
"It can refer to any process that originates within an organism (i.e., endogenous) and responds to the environment (entrained by the environment).",22,"Te koi process ne refer kare che je organism (i.e., endogenous) ma originate thai and environment (entrained by environment) ne respond kare."
"BACKWATERS of Kerala encompass a complex network of lagoons, lakes, & canals, that are best experienced aboard a traditional thatch-roofed rice houseboat known as 'Kettuvallam'.",25,"Kerala na BACKWATERS ek complex network che lagoons, lakes, & canals nu, jo best experience thai traditional thatch-roofed rice houseboat 'Kettuvallam' par."
"The prescriptions were available for 13 out of 18 districts (states) of Homeopathy, Ayurveda, Siddha, and Unani systems, as per the availability of AYUSH doctors.",25,"Prescriptions available hata 13 mathi 18 districts ma for Homeopathy, Ayurveda, Siddha, ane Unani systems, AYUSH doctors ni availability par adharit."
"The Indian numbering system corresponds to the Western system for the zeroth through the fourth powers of ten: one, ten, one hundred, one thousand, and ten thousand.",27,"Indian numbering system correspond kare che Western system sathe for zeroth thi fourth powers of ten: ek, das, ekso, hajaar, ane das hajaar."
"To reduce the height, press the release button to move downwards.",11,"Height ghatva mate, release button dabavo ne neeche move karo."
"India's leading steel producer, SAIL, has a steel plant in Salem, Tamil Nadu.",13,"India's leading steel producer, SAIL, nu ek steel plant Salem, Tamil Nadu ma che."
"Bhajan, Janan, and Oriya songs based on ragas, Rangila Chaupadi, etc. are grouped under light classical music, which forms an important segment of Oriya music.",25,"Bhajan, Janan, ane Oriya songs ragas par adharit, Rangila Chaupadi vagere light classical music ma grouped che, je Oriya music nu ek important segment che."
"On May 14, nearly a thousand protesters rallied around the Pittsburgh City-County Building and about 150 rallied in Bethlehem for the Bans Off Our Bodies event.",26,"May 14 na divase, lagbhag ek hajaar protesters Pittsburgh City-County Building ni aju baju rally kari, ane lagbhag 150 Bethlehem ma Bans Off Our Bodies event ma rally kari."
"The Bagh caves, like those at Ajanta, were excavated on a perpendicular sandstone rock face of a hill across the seasonal stream of Baghani.",24,"Bagh caves, Ajanta jema, perpendicular sandstone rock face par excavate karya gaya hata across seasonal stream Baghani."
"He argues that the soundtrack was, in essence, a ritualistic celebration of traditional archetypes.",14,"Te argue kare che ke soundtrack, mool ma, ek ritualistic celebration che traditional archetypes ni."
Have you carefully read the help pages and thoroughly fixed the problem?,12,Tamare saavdhanipurvak help pages vachi ne thoroughly problem fix kari che?
Yasu then asks Valmiki to train Raj for five years to be as competent as Bantu and become the CEO.,20,"Yasu pachi Valmiki ne poochhe che Raj ne five years sudhi train karva mate, je Bantu javu competent bane ane CEO bane."
"It is widely acknowledged that the National Rural Employment Guarantee Act (NREGA) first implemented in February 2006, has been a magnificent success.",22,"Wide acknowledgment che ke National Rural Employment Guarantee Act (NREGA) je February 2006 ma pehli vaar implement thayu, ek magnificent success che."
"Lopez asserts they also used the term Bauddha, although scholar Richard Cohen asserts that that term was used only by outsiders to describe Buddhists.",24,"Lopez assert kare che ke tevo Bauddha term pan use karta, jare scholar Richard Cohen kahe che ke aa term outsiders dwara Buddhists ne describe karva mate use thayel hatu."
"In this process, an organic stream containing solvent, traces of selective extractant, and the aqueous waste are kept in intimate contact by employing strong agitation.",25,"Aa process ma, ek organic stream je solvent, traces of selective extractant, ane aqueous waste contain kare che, strong agitation dwara intimate contact ma rakhvama aave che."
"Some of these festivals are the Ellora festival, the Pune Ganesh festival, the Gharapuri festival, Paryatan Mahotsav in Murud (Raigad), and others.",22,"Aa festivals ma Ellora festival, Pune Ganesh festival, Gharapuri festival, Paryatan Mahotsav Murud (Raigad) ma, ane anya includes che."
"For example, ""The Trickster and the Talking Bulb"" tells the story of ""The Old Man"", who disregards the warnings of a bulb and, in turn, gets punished for his defiance.",30,"Udaharan tariqe, ""The Trickster and the Talking Bulb"" ek story kahe che ""The Old Man"" ni, je bulb na warnings ne ignore kare che, ane tene punishment male che teni defiance mate."
"The lyrics for the two songs were penned by Sahithi, and the remaining songs were written by Ramajogayya Sastry, Chandrabose, Devi Sri Prasad, and Bhaskarabhatla.",25,"Be songs ni lyrics Sahithi dwara likhaya gaya, ane baki na songs Ramajogayya Sastry, Chandrabose, Devi Sri Prasad, ane Bhaskarabhatla dwara likhaya gaya."
The Sheth and his clerks gathered around me.,8,Sheth ane tena clerks mari aju baju jama thaya.
"Once the onions are translucent, add the marinated mutton with turmeric powder and saute for some time until all the spices are absorbed in the mutton for about 5-6 minutes.",30,"Ek vaar onions translucent thai jaye, marinated mutton turmeric powder sathe add karo ane thodi vaar saute karo jya sudhi spices mutton ma absorb thai jaye, lagbhag 5-6 minutes."
"Besides, earliness has been induced in soybean.",7,"Vadhare, soybean ma earliness induce kari che."
A visa is a certificate prepared by the immigration officials of a foreign country with a stamp marked on a passport after verifying the person's credentials.,26,"Visa ek certificate che je immigration officials dwara prepare thayu che foreign country ma, passport par ek stamp mark kari ne, person na credentials verify kari ne."
"Collagen as haemostat: When collagen interacts with platelets, it causes rapid coagulation of blood.",14,"Collagen as haemostat: Jare collagen platelets sathe interact kare che, te rapid coagulation of blood ne cause kare che."
"Armed with a passion for experimental ideas and geared with confidence and determination, Zeinorin from Ukhrul is not a regular entrepreneur.",21,"Experimental ideas mate ni passion sathe ane confidence ane determination thi gear thayel, Ukhrul ni Zeinorin ek regular entrepreneur nathi."
"It's great to be an Olympian, but there is stress and anxiety afterwards.",13,"Olympian hovu saras che, pan pachi stress ane anxiety che."
"Siemens's definition was adopted as the ""international"" watt.",8,"Siemens ni definition as ""international"" watt tariqe adopt kari gayi."
The brothers were deeply attached to each other.,8,Bhaiyo ek bijane deeply attached hata.
"Known in real life as ""Kuttinarayanan,"" this elephant fractured its leg in an accident when he was seven years old when he stepped into a septic tank.",27,"Vastavik jeevan ma ""Kuttinarayanan"" tariqe janata, aa elephant no pag ek accident ma fracture thayu jare te saat varsh no hato ane septic tank ma pag mukyu."
Radiopharmaceuticals employ the nuclear properties of the radionuclides as well as the pharmacological properties of the pharmaceuticals to show their effectiveness as diagnostic or therapeutic agents.,26,Radiopharmaceuticals radionuclides na nuclear properties ane pharmaceuticals na pharmacological properties employ kare che teni effectiveness as diagnostic ya therapeutic agents dikhadva.
Removing plant residues also reduces soil organic matter content.,9,Plant residues remove karvathi soil organic matter content ghate che.
"The vocals were performed by: Nikhil D'Souza, Monali Thakur, Lucky Ali, Rahat Fateh Ali Khan, Shekhar Ravjiani, Caralisa Monteiro, Mohit Chauhan, Shruti Pathak, Vishal Dadlani, Shilpa Rao and Abhijit Vaghani.",30,"Vocals perform karya gaya: Nikhil D'Souza, Monali Thakur, Lucky Ali, Rahat Fateh Ali Khan, Shekhar Ravjiani, Caralisa Monteiro, Mohit Chauhan, Shruti Pathak, Vishal Dadlani, Shilpa Rao ane Abhijit Vaghani."
"In the early medieval Alpine upland, a simpler central heating system where heat traveled through underfloor channels from the furnace room replaced the Roman hypocaust in some places.",28,"Early medieval Alpine upland ma, ek simpler central heating system je maa heat underfloor channels thaki furnace room thi travel karti, Roman hypocaust ne kai jagya ma replace kari."
The average precipitation per month varies between 54mm (2.1 inches) for February and April and 78mm (3.1 inches) for July.,20,The average precipitation pratyek mahine vary kare che 54mm (2.1 inches) February ane April maate ane 78mm (3.1 inches) July maate.
"In 1912, Dadasaheb Phalke produced the first Indian animation movie, which was followed by a hiatus that lasted over 40 years.",21,"1912 ma Dadasaheb Phalke ae pratham Bharatiya animation movie banavi, je pachi 40 vars ni lambhi gap chhodi."
The field began to flourish in 1971 when Stephen Cook and Leonid Levin proved the existence of practically relevant problems that were NP-complete.,23,"Field 1971 ma flourish thavu sharu thayu, jyare Stephen Cook ane Leonid Levin ae prove karyu ke practically relevant problems NP-complete che."
Enbiolet Green Solution Foundation (GSF) has created a bio-toilet solution for hygienic sanitation in villages and slums in cities that lack sewage systems.,23,Enbiolet Green Solution Foundation (GSF) ae gaamda ane cities na slums ma hygienic sanitation maate bio-toilet solution create karyu che je sewage systems vagar che.
These vaccines either contained inactivated (killed) influenza virus or weakened live virus that could not cause influenza.,17,Aa vaccines ke to inactivated (mari gayeli) influenza virus athva weakened live virus je influenza na kari shake.
"A nominated member of the team is allowed to strike at the goal from the penalty spot, with only the goalkeeper to beat.",23,"Team no ek nominated member ne penalty spot thi goal strike karva ni permission che, jya sirf goalkeeper ne beat karvu pade."
Land use policies that discourage shoreline building will leave communities more flexibility to deal with sea level rise.,18,"Land use policies je shoreline building discourage kare, community ne sea level rise deal karva maate vadhare flexibility apse."
"Then we have Artaxerxes II, the man who was thoughtful.",10,"Pachhi Artaxerxes II che, je vyakti thoughtful hato."
"On April 26, a French citizen is seen on a two-minute-long video asking quarantine workers for help with suicide in three languages.",22,April 26 na ek French citizen ne be-minute-nu video ma quarantine workers ne suicide maate help mangti dekhaay che tran languages ma.
Interaction with the tourists helps to develop hospitable conduct amongst the workers associated to tourism industry in local areas.,19,Tourists saathe interaction local areas ma tourism industry saathe connected workers ma hospitable conduct develop karva ma madad kare che.
More than 46 lakh BPL families in eighteen States and UTs have been issued biometric smart cards.,17,Vadhu ma 46 lakh BPL families athaar States ane UTs ma biometric smart cards issue kari deva ma aavi.
"When the Dutch captain Joris van Spilbergen landed in 1602, the king of Kandy appealed to him for help.",19,"Jyare Dutch captain Joris van Spilbergen 1602 ma land thayu, Kandy na king ae temne help maate appeal kariyu."
Countries may encourage inward direct investment to improve their finances.,10,Countries potana finances improve karva maate inward direct investment encourage kari shake.
"Another format is relay triathlons, where a team of competitors takes turns to compete in a race; each competitor must do a segment of swimming, cycling and running.",28,"Beeju format relay triathlons che, jya competitors ni ek team turn le che race ma compete karva maate; pratyek competitor ne swimming, cycling ane running ni ek segment karvi pade."
"The Charaka Samhita and Sushruta Samhita, developed around 2500 BC, are the main treatises of Ayurveda fully available today.",19,"Charaka Samhita ane Sushruta Samhita, je 2500 BC ni around develop thayeli che, aaje available Ayurveda ni mukhya treatises che."
"The film premiered at the 2016 Sydney Film Festival and the 2016 Cannes Film Festival, in the Director's Fortnight section to a positive response.",24,"Film 2016 Sydney Film Festival ane 2016 Cannes Film Festival ma premiere thai, Director's Fortnight section ma positive response sathe."
"The first is Yima, who is none other than the famous King Jamshed, after whom the Navroz festival on the 21st of March every year is named.",27,"Pratham Yima che, je famous King Jamshed che, jenathi pratyek varsh March 21 na Navroz festival naam aapel che."
"The gastrointestinal tract (GI tract, digestive tract, alimentary canal) is the tract or passageway of the digestive system that leads from the mouth to the anus.",26,"Gastrointestinal tract (GI tract, digestive tract, alimentary canal) digestive system nu tract ke passageway che, je mouth thi anus sudhi jay che."
"""Adore and revere the worldly knowledge"", asserts Sanatkumara in section 7.1 of the Upanishad, ""but meditate on all that knowledge in the name, as Brahman.""",25,"""Adore ane revere worldly knowledge"", Sanatkumara section 7.1 of Upanishad ma kahe che, ""pan meditate karo aa knowledge ne name ma, as Brahman."""
"The players should learn and practise the basic skills of dribbling, passing, tapping, and hitting.",15,"Players ne dribbling, passing, tapping, ane hitting ni basic skills shikhvi ane practice karvi joie."
"Pav Bhaji: It is a fast food dish from Maharashtra, consisting of a thick vegetable curry (bhaji) usually prepared in butter and served with a soft bread roll (pav).",29,"Pav Bhaji: Aa Maharashtra nu fast food dish che, je ek thick vegetable curry (bhaji) maate banavelu hoi che butter ma ane soft bread roll (pav) sathe serve thay che."
"The Gondwana and Vindhyan include within their folds parts of Madhya Pradesh, Chhattisgarh, Odisha, Bihar, Jharkhand, West Bengal, Andhra Pradesh, Maharashtra, Jammu and Kashmir, Punjab, Himachal Pradesh, Rajasthan, and Uttarakhand.",30,"Gondwana ane Vindhyan Madhya Pradesh, Chhattisgarh, Odisha, Bihar, Jharkhand, West Bengal, Andhra Pradesh, Maharashtra, Jammu and Kashmir, Punjab, Himachal Pradesh, Rajasthan, ane Uttarakhand na parts ma fold kare che."
"In 2011, Kashyap directed That Girl in Yellow Boots, a thriller starring Kalki Koechlin who also co-wrote the film with him.",21,"2011 ma Kashyap ae That Girl in Yellow Boots direct kari, ek thriller Kalki Koechlin starring je film temne sathe co-write kari."
Radiopharmaceuticals are highly pure radioactive pharmaceutical preparations that are safe enough for human administration and used for either diagnosis or therapy of various kinds of human ailments.,27,Radiopharmaceuticals highly pure radioactive pharmaceutical preparations che je enough safe che human administration maate ane various human ailments ni diagnosis athva therapy maate upyog thave che.
"Since 2014, it has been the Modi Government's priority to make it easier for the average Indian to obtain and renew passports, both at home and abroad.",27,"2014 thi, Modi Government ni priority che average Indian ne passports obtain ane renew karva ne ghar evi rite asaan banavvu, ghar evi rite ane abroad."
The Salankayanas were an ancient dynasty that ruled the Andhra region between Godavari and Krishna with their capital at Vengi (modern Pedavegi) from 300 to 440 CE.,27,Salankayanas ek ancient dynasty che je Andhra region rule karyo Godavari ane Krishna vachche temni capital Vengi (modern Pedavegi) 300 thi 440 CE sudhi.
The partial observance is laid down for the householders with additional seven vows.,13,Partial observance householders maate laid down che additional saat vows sathe.
About 45% of the annual rainfall of this subdivision (about 60% for coastal regions) is accounted for by the rainfall during this period.,23,Aa subdivision ni annual rainfall (lagbhag 60% coastal regions ma) maathi 45% aa period during rainfall dwara account kari che.
The pleats or Kallis signify the Pancha Buddha or Pancha Ratna.,11,Pleats athva Kallis Pancha Buddha athva Pancha Ratna signify kare che.
Technology has helped teachers create better assessments to help understand where students who are having trouble with the material are having issues.,22,"Technology teachers ne better assessments create karva ma help kare che, student ke jya material ma trouble che tya issues samjhay."
"Although it is inferred as a Filmfare Award, he said in an interview that ""I did not write a Filmfare Award.""",21,"Although it is inferred as a Filmfare Award, te ek interview ma kahevu ke ""hu Filmfare Award nahi lakhyo."""
"It is published by Encyclopedia Britannica, Inc.; the company has existed since the 18th century, although it has changed ownership various times through the centuries.",25,"It is published by Encyclopedia Britannica, Inc.; aa company 18th century thi che, jare ke ownership kai vaar badlayu che."
Article 145 was amended and is governed by the Supreme Court Rules of 2013.,14,Article 145 was amended ane Supreme Court Rules of 2013 dwara govern thay che.
High water and pesticide use in cotton cultivation has prompted sustainability concerns and created a market for natural fiber alternatives.,20,High water ane pesticide use in cotton cultivation sustainability concerns ne upar lai aavi che ane natural fiber alternatives ma ek market create kari che.
This is more efficient than broadcasting to a single country because domestic entertainment programs and information gathered by domestic news staff can be cheaply repackaged for non-domestic audiences.,28,Aa ek country ma broadcast karta vadhare efficient che karan ke domestic entertainment programs ane domestic news staff dwara gather thai information sasta ma non-domestic audiences ma repack kari shake che.
Media is the most potent tool that connects the Parliament with its people.,13,Media Parliament ne tena loko sathe connect karva mate no most potent tool che.
Kerala has been included in the top 50 tourist destinations for a once-in-a-lifetime visit by the National Geographic Channel.,19,Kerala ne National Geographic Channel dwara ek vaar jeevan ma jova layak top 50 tourist destinations ma include karyo che.
